zip,irs_returns,irs_pop,irs_income,statefips,state,irs_mean_hh_income,irs_ui_pct,irs_pct_with_Kinc,irs_avg_K_income,irs_K_inc_reliance,irs_pct_with_LLCinc,irs_LLC_inc_reliance,irs_avg_mort,irs_mort_inc_ratio,irs_SSI_reliance,irs_EITC_pct,irs_avg_AGI,irs_mean_ind_income
01106,7640,15390,1203561,25,"MA",157534.2,.0418848,.4123037,17501.57,.111097,.1426702,.100491,3567.016,.0226428,.0232876,.039267,154538.1,78204.09
01107,3870,8180,117610,25,"MA",30390.18,.0930233,.0310078,206.9767,.0068106,.0103359,.0058073,539.2765,.0177451,.0142165,.4754522,30162.53,14377.75
01108,11120,21610,410282,25,"MA",36895.86,.0944245,.0557554,404.1367,.0109534,.0152878,.0132738,717.446,.0194452,.0205858,.3767986,36505.75,18985.75
01109,11480,22040,348255,25,"MA",30335.8,.0940767,.033101,197.4739,.0065096,.0043554,.0010366,616.4634,.0203213,.0239595,.4050523,30125.96,15801.04
01118,7130,12650,360197,25,"MA",50518.51,.0771388,.1051893,556.8022,.0110217,.0252454,.0081844,1696.774,.0335872,.0302418,.1781206,50008.27,28474.07
01119,6000,10900,254581,25,"MA",42430.17,.0866667,.0716667,329.8333,.0077736,.0116667,.0042148,1361.5,.032088,.0275315,.2483333,42122.83,23356.05
01128,1460,2580,80382,25,"MA",55056.16,.0821918,.1232877,353.4247,.0064193,.0273973,.00418,2016.438,.0366251,.038429,.1164384,54506.16,31155.81
01129,3680,6460,178838,25,"MA",48597.28,.0869565,.0923913,348.6413,.0071741,.0163043,.0073027,1661.413,.0341874,.0337288,.1684783,48192.93,27683.9
01151,3830,7310,123895,25,"MA",32348.56,.1070496,.0391645,148.3029,.0045845,.0078329,.0030348,675.9791,.0208967,.0172646,.3707572,32126.89,16948.7
01201,22330,38310,1172631,25,"MA",52513.7,.067622,.1513659,1633.901,.0311138,.0317958,.0396604,1182.714,.022522,.0365008,.1845051,51847.38,30609.01
01220,4250,7250,194763,25,"MA",45826.59,.1011765,.1435294,896.9412,.0195725,.0282353,.0189512,872,.0190283,.0357819,.1717647,45351.29,26863.86
01222,430,720,19923,25,"MA",46332.56,.0697674,.1395349,1055.814,.0227877,0,0,1718.605,.0370928,.0403554,.1395349,45416.28,27670.83
01223,1100,1940,67271,25,"MA",61155.45,.0818182,.1909091,2598.182,.0424849,.0454545,.0126057,1864.545,.0304886,.0395713,.1454545,60260.91,34675.77
01224,100,160,4296,25,"MA",42960,0,0,0,0,0,0,0,0,0,0,42960,26850
01225,1670,2990,93548,25,"MA",56016.77,.1017964,.1736527,712.5748,.0127207,.0419162,.0128811,1585.629,.0283063,.0390815,.1137725,55331.74,31286.96
01226,3290,5850,210047,25,"MA",63844.07,.0759878,.1884498,1829.787,.0286603,.0425532,.0451899,1802.432,.0282318,.0354302,.1215805,62982.37,35905.47
01230,3780,6210,288985,25,"MA",76451.05,.0582011,.2857143,12536.51,.1639808,.1137566,.0509992,2028.571,.0265343,.0398014,.1296296,74438.63,46535.43
01235,1420,2530,86724,25,"MA",61073.24,.1267606,.1760563,1586.62,.025979,.056338,.0235921,1869.718,.0306144,.0362299,.1338028,60242.96,34278.26
01236,870,1450,52369,25,"MA",60194.25,.0574713,.2298851,4456.322,.0740323,.0689655,.0251103,1911.494,.0317554,.03567,.137931,59086.21,36116.55
01237,1510,2680,92893,25,"MA",61518.54,.0993377,.192053,1353.642,.0220038,.0662252,.0607258,2000.662,.0325213,.039131,.1258278,60360.93,34661.57
01238,3010,5120,163761,25,"MA",54405.65,.0631229,.1860465,1253.488,.0230397,.0531561,.0226305,1595.681,.0293293,.0431299,.1328904,53554.82,31984.57
01240,2490,4120,235166,25,"MA",94444.18,.0401606,.3895582,8889.96,.0941293,.1084337,.0555267,2283.534,.0241787,.0488931,.0803213,92567.07,57079.13
01245,420,720,29070,25,"MA",69214.29,.0714286,.3095238,3866.667,.0558652,.0952381,.0379429,2526.19,.0364981,.0662539,.1190476,66976.19,40375
01247,6800,11790,281001,25,"MA",41323.68,.1132353,.1117647,643.6765,.0155765,.0235294,.0087082,824.5588,.0199537,.0335764,.2,40880.29,23833.84
01253,440,740,25004,25,"MA",56827.27,.0454545,.1818182,829.5455,.0145977,0,0,2011.364,.0353943,.0530715,.1136364,55922.73,33789.19
01254,600,1040,107713,25,"MA",179521.7,.05,.4333333,12233.33,.068144,.1333333,.0535404,2961.667,.0164975,.030377,.05,176018.3,103570.2
01255,350,620,18434,25,"MA",52668.57,.0857143,.1428571,977.1429,.0185527,0,0,2002.857,.0380276,.0342845,.1428571,51948.57,29732.26
01256,340,580,16804,25,"MA",49423.53,.1470588,.0882353,41.17647,.0008331,0,0,1470.588,.0297548,.030707,.0882353,49035.29,28972.41
01257,1190,2060,87196,25,"MA",73273.95,.0672269,.2605042,12128.57,.1655236,.1176471,.0431212,2100,.0286596,.044853,.1260504,71497.48,42328.16
01258,400,600,30688,25,"MA",76720,.075,.35,7825,.1019943,.175,.0392336,2350,.0306309,.0582312,.075,74465,51146.67
01259,230,450,18182,25,"MA",79052.17,.0869565,.2608696,6734.783,.0851941,.1304348,.0744143,1830.435,.0231548,.0371246,.1304348,77543.48,40404.45
01266,740,1270,79686,25,"MA",107683.8,.0540541,.3378378,17506.76,.1625756,.0945946,.0483021,2440.541,.022664,.0356901,.1216216,104995.9,62744.88
01267,2850,5140,291087,25,"MA",102135.8,.0491228,.3578947,11045.96,.1081498,.0982456,.0736721,2315.79,.0226736,.0392048,.077193,99938.24,56631.71
01270,390,720,26273,25,"MA",67366.66,.1025641,.1794872,861.5385,.0127888,0,0,2179.487,.0323526,.0384806,.0769231,66543.59,36490.28
01301,8390,14260,420206,25,"MA",50084.15,.067938,.1561383,1252.92,.0250163,.034565,.0440903,1205.364,.0240668,.0329219,.1811681,49209.77,29467.46
01330,760,1320,51908,25,"MA",68300,.0526316,.25,3896.053,.0570432,.0789474,.0620714,1726.316,.0252755,.036372,.1184211,66702.63,39324.24
01331,6030,11030,285473,25,"MA",47342.12,.0912106,.1077944,847.7612,.0179071,.0232172,.0167511,1337.479,.0282514,.0286542,.1774461,46879.6,25881.51
01337,1340,2400,78735,25,"MA",58757.46,.0746269,.2089552,2050,.0348892,.0447761,.0148092,1911.194,.0325268,.035575,.1119403,57699.25,32806.25
01338,120,230,6578,25,"MA",54816.67,0,.1666667,233.3333,.0042566,0,0,1500,.0273639,0,0,54033.33,28600
01339,730,1260,36069,25,"MA",49409.59,.0958904,.1780822,1184.932,.0239818,.0410959,.003826,1279.452,.0258948,.046411,.1643836,48391.78,28626.19
01340,930,1630,45945,25,"MA",49403.23,.0860215,.1935484,975.2688,.019741,.0430108,.0043748,1183.871,.0239634,.0385243,.1397849,48327.96,28187.12
01341,830,1520,67464,25,"MA",81281.93,.0481928,.3614458,7109.639,.0874689,.0963855,.0451055,2321.687,.0285634,.0322246,.1084337,79132.53,44384.21
01342,680,1250,51310,25,"MA",75455.88,.0441176,.2794118,6532.353,.0865718,.0735294,.0233483,1750,.0231924,.0276359,.0735294,73991.18,41048
01344,730,1380,37781,25,"MA",51754.79,.0821918,.0958904,208.2192,.0040232,0,0,1493.151,.0288505,.0259654,.1506849,51406.85,27377.54
01346,190,360,8475,25,"MA",44605.26,0,.1578947,989.4737,.0221829,0,0,1810.526,.04059,.0442478,.1578947,44000,23541.67
01349,400,720,18417,25,"MA",46042.5,.075,.075,445,.009665,0,0,1127.5,.0244882,.0243797,.2,45685,25579.17
01351,1260,2050,74053,25,"MA",58772.22,.0555556,.1825397,2051.587,.0349074,.047619,.0343403,1700.794,.0289387,.0301136,.1190476,57565.08,36123.41
01354,810,1480,46936,25,"MA",57945.68,.0740741,.2098765,2116.049,.0365178,.0493827,.0055608,1391.358,.0240114,.0343659,.0987654,56814.82,31713.51
