zip,pct_dis,pct_dis_pop18_64,pct_dis_pop65over,age_adj_dis18_64,age2_adj_dis18_64
57279,15.3,8.9,38.1,-3.477068,-5.937412
57301,15.5,10.9,42.9,-.7956606,-2.908791
57311,10.5,7.9,34.6,-1.95354,-6.330419
57312,8.3,3.3,48.4,-9.238961,-11.35948
57313,11.8,3.6,44,-8.614193,-12.81482
57314,14.1,9.8,43.1,-1.416592,-2.392477
57315,10.9,5,40.5,-7.230545,-8.128
57317,17.8,14,43.4,2.112654,-1.837604
57319,9.4,8.5,28.4,-3.599797,-7.042415
57321,13.9,11.7,27.1,.2324726,-1.017557
57322,17.8,6,35.7,-6.208568,-7.626527
57323,18.8,15.4,40.7,3.322933,-1.948619
57324,19.3,19.8,38.9,6.645641,8.923553
57325,18.7,18.5,41.8,6.58211,6.169452
57326,18.7,18.5,41.8,6.58211,6.169452
57328,12,7.6,37.1,-5.890111,-4.608185
57329,6.4,5.4,20.4,-7.23849,-12.89106
57330,22,17.4,38.8,4.603975,.6674217
57331,8.8,12,19.5,2.842412,6.865019
57332,12.7,8.5,44.9,-1.501282,-1.054784
57334,6.2,3.5,28.8,-6.177705,-9.144585
57335,14.7,10.4,43.4,-6.02543,-5.399837
57337,19.3,0,52,-11.54276,-10.96276
57339,17.5,20.2,49.5,11.255,9.08228
57340,18.2,7.4,59.7,-5.569105,-11.5803
57341,12.7,4.3,34.7,-7.672216,-5.59985
57342,25.1,20.8,58.3,8.497406,4.627885
57344,12.8,7.6,29.6,-3.91152,-7.928418
57345,10.3,6,34.7,-7.959551,-11.25994
57346,19,0,36.4,-6.146741,-3.178263
57348,10.8,5.6,28.4,-7.709527,-8.178554
57349,10.1,6.9,34.8,-6.59314,-12.82899
57350,14,11,34.8,-.995492,-2.155766
57353,9.9,6.7,29.3,-5.224531,-6.583691
57354,11.6,10.6,23.7,-1.568015,-3.082968
57355,16.8,9.5,44.9,-1.527525,-5.404916
57356,15.1,17.7,40.3,7.274405,1.618417
57358,25.9,17.9,0,12.88082,-1.400003
57359,8.1,4.5,31.5,-8.239151,-8.46207
57361,2.5,0,62.5,-11.66109,-10.83193
57362,13.8,6.9,42.4,-5.740139,-4.074185
57363,13.9,15.1,51,3.341955,1.239129
57364,35.3,,35.3,,
57365,13.9,11.8,27.8,-.4668695,4.379378
57366,12.7,5.8,39.8,-5.246173,-5.668828
57367,11.8,13.9,18.6,-1.40479,-10.28185
57368,10.7,7.7,29.8,-3.501795,-10.34778
57369,14.2,11.9,35.5,-.3972975,-1.450143
57370,13.9,13.1,35.8,2.92329,1.459827
57371,24.4,2.4,51.8,-12.01473,-12.34901
57373,15.9,8.4,41.4,-2.02605,-1.691259
57374,11.6,8.6,31.6,.1898857,-.892033
57375,14.4,7.7,43,-4.368453,-.9426859
57376,13.7,12,28.2,-.13692,-1.908814
57379,24.1,19.2,60,13.95579,.5167038
57380,13.1,11.9,37.2,1.541516,-1.350106
57381,9.2,6.3,31.4,-8.299064,-11.05421
57382,15.8,8,48.1,-6.005589,-9.612967
57383,11.3,5.9,39.8,-6.184874,-11.70577
57384,11.9,9,37.3,-4.169218,-3.565086
57385,16.9,9.5,42.4,-5.27614,-6.483212
57386,8.1,8.1,11.9,-6.925747,-4.009734
57399,14,11,34.8,-.995492,-2.155766
57401,9.3,6.8,32,-4.790212,-5.034884
57402,9.3,6.8,32,-4.790212,-5.034884
57420,39.3,21.2,60.7,-1.821259,-14.60392
57421,7,9.8,0,-7.289176,-3.243325
57422,21,11.8,58.1,-1.545832,2.7788
57424,10.1,10.7,22,-3.43825,-3.089027
57426,15.7,21.7,0,7.180214,.7854244
57427,10.3,10.4,39.6,1.908225,-.7821633
57428,10.5,3.3,32.8,-8.53537,-11.42365
57429,9.6,9.8,33.3,-5.742749,-3.042528
57430,8.4,5.7,27.7,-6.350072,-7.830213
57432,16.9,16.9,33,5.812576,10.6892
57433,6.7,6.1,27.7,-7.714576,-9.529577
57434,18.8,12.1,48.4,-.6998142,-2.069474
57435,19.1,13.7,51.7,2.754714,-.1896008
57436,14.1,13.6,21,-1.00322,-2.124872
57437,18,12.9,35.5,-2.821172,-6.234685
57438,17.2,14.7,34.2,2.664477,-2.906302
57439,0,,0,,
57440,13.5,13.6,23.6,.0888763,-2.377823
57441,10.7,4.7,40.3,-5.787654,-8.866659
57442,13.2,11.6,28.5,-2.264608,-4.95974
57445,7.6,7.3,29.2,-2.812077,-6.111424
57446,30.1,9.1,43.6,-8.147263,-12.04494
57448,15.5,15.3,32.4,2.796226,7.114779
57449,21.5,0,58.6,-16.91393,-21.332
57450,19.9,13,44.3,.015769,-3.724421
57451,9.3,7.3,26,-5.494677,-5.980799
57452,14.2,7.8,32.7,-7.716455,-14.36611
57454,11.2,2.2,43.9,-10.16133,-7.682842
57455,17.5,10.3,41.7,-6.973685,-8.173079
57456,11.5,11.9,23.6,2.119556,.8968681
57457,23.1,0,52.2,-11.44636,-8.223278
57460,12.2,13.8,22.4,1.683352,-3.262567
57461,12.9,12.4,40,-1.018157,.5282205
